step,epoch,total_loss,ce_loss,phase_loss,kd_loss,lr,throughput
10,,13.2679,11.3505,,15.1854,6.00e-06,2.61_samples/s
20,,19.1734,10.9994,,27.3474,1.20e-05,2.45_samples/s
30,,14.0277,11.0860,,16.9694,1.80e-05,2.26_samples/s
40,,12.2870,10.5806,,13.9934,2.40e-05,2.26_samples/s
50,,17.9605,10.9981,,24.9229,3.00e-05,2.27_samples/s
60,,13.6132,10.5000,,16.7265,3.60e-05,2.24_samples/s
70,,14.9925,10.4309,,19.5542,4.20e-05,2.18_samples/s
80,,14.4209,10.7421,,18.0997,4.80e-05,2.15_samples/s
90,,11.7751,10.5897,,12.9605,5.40e-05,2.11_samples/s
100,,11.8533,10.4565,,13.2501,6.00e-05,2.11_samples/s
110,,14.2180,10.2476,,18.1883,6.60e-05,2.09_samples/s
120,,17.7478,10.6511,,24.8445,7.20e-05,2.08_samples/s
130,,11.6524,11.6386,,11.6662,7.80e-05,2.08_samples/s
140,,17.9941,10.2299,,25.7584,8.40e-05,2.10_samples/s
150,,18.2416,10.1142,,26.3690,9.00e-05,2.12_samples/s
160,,14.3349,10.2942,,18.3756,9.60e-05,2.14_samples/s
170,,11.9116,10.3584,,13.4648,1.02e-04,2.14_samples/s
180,,14.0860,10.3836,,17.7884,1.08e-04,2.10_samples/s
190,,12.7963,9.5336,,16.0589,1.14e-04,2.06_samples/s
200,,17.1421,9.7163,,24.5678,1.20e-04,2.04_samples/s
210,,16.3901,10.4690,,22.3113,1.26e-04,2.03_samples/s
220,,12.1252,9.4745,,14.7760,1.32e-04,2.02_samples/s
230,,16.9077,9.6021,,24.2133,1.38e-04,2.01_samples/s
240,,10.1322,8.5166,,11.7478,1.44e-04,2.00_samples/s
250,,16.1237,9.1312,,23.1163,1.50e-04,1.99_samples/s
260,,15.6112,8.9759,,22.2465,1.56e-04,1.99_samples/s
270,,14.9151,9.1298,,20.7003,1.62e-04,1.98_samples/s
280,,11.0918,10.0106,,12.1731,1.68e-04,1.97_samples/s
290,,9.7757,10.3139,,9.2376,1.74e-04,1.96_samples/s
300,,10.8961,9.3664,,12.4258,1.80e-04,1.97_samples/s
310,,13.2733,8.7509,,17.7958,1.86e-04,1.98_samples/s
320,,14.7476,9.1004,,20.3948,1.92e-04,1.99_samples/s
330,,11.6363,8.8640,,14.4087,1.98e-04,2.00_samples/s
340,,13.8056,8.4566,,19.1546,2.04e-04,2.01_samples/s
350,,11.0176,9.3275,,12.7078,2.10e-04,2.02_samples/s
360,,14.3245,8.9412,,19.7078,2.16e-04,2.03_samples/s
370,,12.0041,8.0370,,15.9713,2.22e-04,2.01_samples/s
380,,8.9879,8.5827,,9.3930,2.28e-04,2.02_samples/s
390,,11.7168,8.4528,,14.9808,2.34e-04,2.03_samples/s
400,,12.5909,8.0621,,17.1198,2.40e-04,2.04_samples/s
410,,11.8839,8.5138,,15.2540,2.46e-04,2.04_samples/s
420,,9.0279,8.3947,,9.6611,2.52e-04,2.04_samples/s
430,,8.5827,8.3758,,8.7896,2.58e-04,2.04_samples/s
440,,14.9875,7.7746,,22.2004,2.64e-04,2.04_samples/s
450,,10.6374,7.9399,,13.3349,2.70e-04,2.05_samples/s
460,,12.7753,7.7719,,17.7787,2.76e-04,2.05_samples/s
470,,10.3365,7.2416,,13.4315,2.82e-04,2.05_samples/s
480,,8.0153,8.1902,,7.8405,2.88e-04,2.06_samples/s
490,,11.6597,7.6567,,15.6627,2.94e-04,2.06_samples/s
500,,13.5510,7.2697,,19.8323,3.00e-04,2.06_samples/s
510,,11.4895,7.9199,,15.0591,3.00e-04,2.06_samples/s
520,,12.3976,7.9007,,16.8946,3.00e-04,2.07_samples/s
530,,9.3728,7.2053,,11.5402,3.00e-04,2.07_samples/s
540,,8.6003,7.9367,,9.2638,3.00e-04,2.08_samples/s
550,,8.6731,7.5716,,9.7747,3.00e-04,2.09_samples/s
560,,9.8543,7.4789,,12.2296,3.00e-04,2.09_samples/s
570,,8.3914,7.6251,,9.1577,3.00e-04,2.10_samples/s
580,,12.1833,7.7273,,16.6393,3.00e-04,2.11_samples/s
590,,9.6975,8.4023,,10.9927,2.99e-04,2.11_samples/s
600,,11.9903,7.1340,,16.8467,2.99e-04,2.11_samples/s
610,,11.2377,6.6095,,15.8659,2.99e-04,2.11_samples/s
620,,10.3861,7.8581,,12.9140,2.99e-04,2.11_samples/s
630,,12.0896,7.2292,,16.9501,2.99e-04,2.11_samples/s
640,,11.0736,7.2512,,14.8959,2.99e-04,2.12_samples/s
650,,13.4847,7.7320,,19.2373,2.99e-04,2.12_samples/s
660,,13.1899,7.8046,,18.5751,2.99e-04,2.12_samples/s
670,,8.7139,7.0450,,10.3827,2.99e-04,2.13_samples/s
680,,11.7224,6.8214,,16.6233,2.99e-04,2.13_samples/s
690,,11.6907,7.4000,,15.9814,2.99e-04,2.14_samples/s
700,,10.1347,8.4285,,11.8410,2.99e-04,2.14_samples/s
710,,10.0367,7.4122,,12.6612,2.99e-04,2.15_samples/s
720,,10.3082,7.5374,,13.0790,2.99e-04,2.15_samples/s
730,,9.4722,6.8776,,12.0667,2.99e-04,2.16_samples/s
740,,11.9663,6.9118,,17.0209,2.99e-04,2.16_samples/s
750,,9.0482,7.3171,,10.7794,2.98e-04,2.17_samples/s
760,,10.6960,8.1762,,13.2158,2.98e-04,2.17_samples/s
770,,12.9174,6.9134,,18.9213,2.98e-04,2.18_samples/s
780,,8.4113,7.8560,,8.9666,2.98e-04,2.18_samples/s
790,,11.8228,7.6178,,16.0278,2.98e-04,2.18_samples/s
800,,8.9796,7.8008,,10.1584,2.98e-04,2.19_samples/s
810,,9.4674,6.4090,,12.5259,2.98e-04,2.19_samples/s
820,,12.2883,10.3376,,14.2391,2.98e-04,2.19_samples/s
830,,9.5735,7.2289,,11.9181,2.98e-04,2.19_samples/s
840,,10.4759,7.6044,,13.3474,2.98e-04,2.20_samples/s
850,,10.9919,6.7213,,15.2624,2.98e-04,2.20_samples/s
860,,12.7683,7.1242,,18.4125,2.98e-04,2.20_samples/s
870,,9.4827,6.9056,,12.0598,2.98e-04,2.21_samples/s
880,,11.2424,7.2909,,15.1940,2.98e-04,2.21_samples/s
890,,8.3828,7.5518,,9.2139,2.98e-04,2.21_samples/s
900,,10.5532,7.0443,,14.0621,2.98e-04,2.21_samples/s
910,,10.0208,7.2439,,12.7978,2.98e-04,2.22_samples/s
920,,12.0469,6.7216,,17.3722,2.97e-04,2.22_samples/s
930,,10.7244,7.9378,,13.5110,2.97e-04,2.22_samples/s
940,,9.3075,7.3553,,11.2597,2.97e-04,2.23_samples/s
