step,epoch,total_loss,ce_loss,phase_loss,kd_loss,lr,throughput
10,0,12.4916,12.5052,,6.4913,6.00e-06,0.39_samples/s
20,0,12.0738,12.0996,,6.6676,1.20e-05,0.37_samples/s
30,0,12.1067,12.1477,,6.4896,1.80e-05,0.36_samples/s
40,0,11.1258,11.1185,,11.8684,2.40e-05,0.35_samples/s
50,0,11.3730,11.4552,,4.7392,3.00e-05,0.34_samples/s
60,0,10.8486,10.9134,,6.5203,3.60e-05,0.35_samples/s
70,0,11.3273,11.4067,,6.8022,4.20e-05,0.35_samples/s
80,0,10.6690,10.7812,,5.0974,4.80e-05,0.37_samples/s
90,0,10.3661,10.4626,,6.1248,5.40e-05,0.38_samples/s
100,0,10.0548,10.1503,,6.2890,6.00e-05,0.38_samples/s
110,0,10.3317,10.4825,,4.9468,6.60e-05,0.38_samples/s
120,0,10.6303,10.8884,,2.2127,7.20e-05,0.38_samples/s
130,0,9.5989,9.6621,,7.7016,7.80e-05,0.38_samples/s
140,0,10.1002,10.3258,,3.8338,8.40e-05,0.38_samples/s
150,0,10.0416,10.2725,,4.0747,9.00e-05,0.38_samples/s
160,0,10.0876,10.3474,,3.8128,9.60e-05,0.38_samples/s
170,0,11.7394,11.9950,,5.9447,1.02e-04,0.38_samples/s
180,0,10.3919,10.7546,,2.6505,1.08e-04,0.38_samples/s
190,0,10.0737,10.4167,,3.1562,1.14e-04,0.38_samples/s
200,0,9.9158,10.3093,,2.3981,1.20e-04,0.38_samples/s
210,0,9.5903,9.9668,,2.7613,1.26e-04,9.45
220,0,8.9508,9.1036,,6.3134,1.32e-04,4.53
230,0,9.7249,10.1177,,3.2564,1.38e-04,3.02
240,0,8.7583,8.9716,,5.4019,1.44e-04,2.27
250,0,9.4865,9.9392,,2.6678,1.50e-04,1.85
260,0,9.4127,9.7925,,3.9267,1.56e-04,1.62
270,0,8.4140,8.7085,,4.3287,1.62e-04,1.47
280,0,9.7313,9.9651,,6.6132,1.68e-04,1.34
290,0,8.5286,8.6296,,7.2320,1.74e-04,1.21
300,0,8.2249,8.3900,,6.1820,1.80e-04,1.12
310,0,9.2700,9.5881,,5.4698,1.86e-04,1.06
320,0,9.4352,9.7849,,5.4002,1.92e-04,1.01
330,0,9.3122,9.5155,,7.0436,1.98e-04,0.97
340,0,8.2638,8.6507,,4.0862,2.04e-04,0.92
350,0,8.5925,8.6110,,8.3988,2.10e-04,0.88
360,0,7.4657,7.7232,,4.8547,2.16e-04,0.84
370,0,8.2413,8.6687,,4.0356,2.22e-04,0.81
380,0,7.2219,7.4873,,4.6862,2.28e-04,0.78
390,0,8.1272,8.4529,,5.1041,2.34e-04,0.75
400,0,8.2423,8.5104,,5.8229,2.40e-04,0.73
410,0,8.5723,8.8450,,6.1777,2.46e-04,0.71
420,0,7.1691,7.2055,,6.8580,2.52e-04,0.69
430,0,7.3160,7.5046,,5.7463,2.58e-04,0.68
440,0,7.9870,8.5811,,3.1679,2.64e-04,0.66
450,0,7.7446,8.0572,,5.2723,2.70e-04,0.65
460,0,7.6937,7.9772,,5.5067,2.76e-04,0.64
470,0,7.7958,8.0858,,5.6117,2.82e-04,0.62
480,0,7.6470,7.7326,,7.0174,2.88e-04,0.61
490,0,8.7614,8.5491,,10.2864,2.94e-04,0.60
500,0,7.8205,7.7621,,8.2306,3.00e-04,0.59
510,0,6.9601,7.3661,,4.1749,3.00e-04,0.58
520,0,9.5218,9.8980,,6.9983,3.00e-04,0.58
530,0,7.1391,7.3853,,5.5233,3.00e-04,0.57
540,0,8.1593,8.4509,,6.2870,3.00e-04,0.57
550,0,7.9877,8.5180,,4.6539,3.00e-04,0.56
560,0,7.3482,7.6573,,5.4458,3.00e-04,0.56
570,0,7.3466,7.7175,,5.1098,3.00e-04,0.55
580,0,6.6660,6.6171,,6.9554,3.00e-04,0.55
590,0,7.4018,7.8999,,4.5172,3.00e-04,0.55
600,0,8.3287,8.6155,,6.7000,3.00e-04,0.55
610,0,7.1144,7.4248,,5.3863,3.00e-04,0.54
620,0,7.0665,7.5413,,4.4730,3.00e-04,0.54
630,0,7.5689,7.3396,,8.7976,3.00e-04,0.54
640,0,6.5381,6.9499,,4.3719,3.00e-04,0.54
650,0,7.5911,6.8469,,11.4339,3.00e-04,0.54
660,0,7.5222,8.0126,,5.0355,3.00e-04,0.53
670,0,6.8432,7.1389,,5.3707,3.00e-04,0.53
680,0,8.2737,8.3087,,8.1022,3.00e-04,0.53
690,0,8.1413,8.6656,,5.6218,3.00e-04,0.53
700,0,8.0289,8.1346,,7.5300,3.00e-04,0.53
710,0,6.8908,7.0848,,5.9906,3.00e-04,0.53
720,0,7.1454,7.9521,,3.4643,3.00e-04,0.52
730,0,7.8431,8.3383,,5.6211,3.00e-04,0.52
740,0,6.1897,6.6843,,4.0071,3.00e-04,0.52
750,0,6.4587,6.8458,,4.7784,3.00e-04,0.52
760,0,6.2125,6.6440,,4.3703,3.00e-04,0.52
770,0,6.7827,7.2104,,4.9856,3.00e-04,0.52
780,0,6.4601,7.0194,,4.1476,3.00e-04,0.52
790,0,6.6031,7.2136,,4.1187,3.00e-04,0.52
800,0,7.2072,8.0132,,3.9783,3.00e-04,0.52
810,0,6.0359,6.6654,,3.5528,3.00e-04,0.52
820,0,7.0112,7.6578,,4.4998,3.00e-04,0.52
830,0,6.9282,6.8798,,7.1132,3.00e-04,0.52
840,0,7.3293,8.0930,,4.4517,3.00e-04,0.51
850,0,6.5236,6.6838,,5.9292,3.00e-04,0.51
860,0,6.5694,6.7240,,6.0041,3.00e-04,0.51
870,0,6.7694,7.0227,,5.8570,3.00e-04,0.51
880,0,7.3723,7.2940,,7.6501,3.00e-04,0.51
890,0,5.9959,6.3432,,4.7804,3.00e-04,0.50
900,0,6.4472,7.2428,,3.7029,3.00e-04,0.50
910,0,6.9861,6.8601,,7.4145,3.00e-04,0.50
920,0,6.8399,7.4075,,4.9370,3.00e-04,0.50
930,0,7.4865,8.1220,,5.3856,3.00e-04,0.50
940,0,7.1893,8.2209,,3.8263,3.00e-04,0.49
950,0,7.7499,8.3948,,5.6766,3.00e-04,0.49
960,0,6.9199,7.4034,,5.3866,3.00e-04,0.49
970,0,7.2563,8.2067,,4.2833,3.00e-04,0.49
980,0,6.0489,6.7061,,4.0207,3.00e-04,0.49
990,0,5.9845,6.5347,,4.3094,3.00e-04,0.49
1000,0,7.7802,8.4310,,5.8250,3.00e-04,0.49
1010,0,6.7867,7.8192,,3.7260,3.00e-04,0.49
1020,0,6.6082,7.5849,,3.7510,3.00e-04,0.48
1030,0,6.6443,7.3684,,4.5535,3.00e-04,0.48
1040,0,7.2473,8.1676,,4.6248,3.00e-04,0.48
1050,0,6.8128,7.1083,,5.9816,3.00e-04,0.48
1060,0,6.5248,7.6025,,3.5318,3.00e-04,0.48
1070,0,6.1027,6.8919,,3.9388,3.00e-04,0.47
1080,0,6.5628,7.0562,,5.2272,3.00e-04,0.47
1090,0,5.7994,6.3448,,4.3415,3.00e-04,0.46
1100,0,6.8018,7.5132,,4.9238,3.00e-04,0.46
1110,0,7.0906,8.2022,,4.1926,3.00e-04,0.46
1120,0,7.5695,7.8526,,6.8407,3.00e-04,0.46
1130,0,6.7232,8.0937,,3.2383,3.00e-04,0.46
1140,0,5.6664,6.4686,,3.6516,3.00e-04,0.46
1150,0,6.3533,7.4068,,3.7394,3.00e-04,0.46
1160,0,6.0448,7.2709,,3.0391,3.00e-04,0.46
1170,0,7.7648,6.6893,,10.3695,3.00e-04,0.46
1180,0,6.7391,8.1284,,3.4148,3.00e-04,0.46
1190,0,7.4835,7.9231,,6.4443,3.00e-04,0.46
1200,0,6.8035,7.6688,,4.7820,3.00e-04,0.46
1210,0,6.5715,7.4391,,4.5688,3.00e-04,0.46
1220,0,6.6711,8.1295,,3.3440,3.00e-04,0.46
1230,0,5.9927,7.2569,,3.1423,3.00e-04,0.46
1240,0,6.2924,7.6176,,3.3392,3.00e-04,0.46
1250,0,7.1278,8.3422,,4.4531,3.00e-04,0.46
1260,0,6.7430,8.2864,,3.3827,3.00e-04,0.46
1270,0,7.0995,8.0658,,5.0199,3.00e-04,0.46
1280,0,7.1502,8.0179,,5.3041,3.00e-04,0.46
1290,0,6.9984,8.3100,,4.2397,3.00e-04,0.46
1300,0,6.4304,7.6607,,3.8724,3.00e-04,0.46
1310,0,6.2369,7.6190,,3.3958,3.00e-04,0.46
1320,0,7.3670,7.8752,,6.3342,3.00e-04,0.46
1330,0,7.0481,8.3003,,4.5316,3.00e-04,0.46
1340,0,7.1511,8.7186,,4.0358,3.00e-04,0.46
1350,0,7.8192,7.0778,,9.2763,3.00e-04,0.46
1360,0,7.4353,6.8873,,8.5004,3.00e-04,0.46
1370,0,6.5372,8.0207,,3.6861,3.00e-04,0.46
1380,0,5.4952,5.5221,,5.4440,3.00e-04,0.46
