step,epoch,total_loss,ce_loss,phase_loss,mag_loss,lr,throughput
0,0,11.3157,11.2889,0.0498,0.2680,0.00e+00,0.00_samples/s
50,0,11.3956,11.3685,0.0529,0.2712,1.80e-06,5.68_samples/s
100,0,11.4744,11.4473,0.0526,0.2716,3.60e-06,6.19_samples/s
150,0,11.3193,11.2919,0.0542,0.2743,5.40e-06,6.29_samples/s
200,0,11.2690,11.2417,0.0523,0.2730,7.20e-06,6.30_samples/s
250,0,11.0817,11.0547,0.0531,0.2705,9.00e-06,6.34_samples/s
300,0,11.0970,11.0694,0.0585,0.2763,1.08e-05,6.34_samples/s
350,0,10.8972,10.8698,0.0546,0.2738,1.26e-05,6.30_samples/s
400,0,10.7502,10.7234,0.0510,0.2678,1.50e-05,6.32_samples/s
450,0,10.6754,10.6488,0.0507,0.2660,1.68e-05,6.33_samples/s
500,0,10.6422,10.6151,0.0532,0.2710,1.86e-05,6.28_samples/s
550,0,10.5853,10.5583,0.0559,0.2696,2.04e-05,6.31_samples/s
600,0,10.3168,10.2906,0.0519,0.2616,2.22e-05,6.30_samples/s
650,0,10.1960,10.1704,0.0487,0.2569,2.40e-05,6.31_samples/s
700,0,9.9495,9.9243,0.0479,0.2513,2.58e-05,6.30_samples/s
750,0,10.0462,10.0215,0.0473,0.2474,2.76e-05,6.26_samples/s
800,0,9.7958,9.7713,0.0476,0.2445,3.00e-05,6.24_samples/s
850,0,9.4313,9.4073,0.0449,0.2394,3.18e-05,5.97_samples/s
900,0,9.5265,9.5033,0.0445,0.2325,3.36e-05,5.86_samples/s
950,0,9.5259,9.5028,0.0446,0.2319,3.54e-05,5.80_samples/s
1000,0,9.3200,9.2972,0.0439,0.2282,3.72e-05,5.71_samples/s
1050,0,9.1952,9.1734,0.0408,0.2184,3.90e-05,5.63_samples/s
1100,0,8.9484,8.9269,0.0402,0.2145,4.08e-05,5.59_samples/s
1150,0,8.8123,8.7918,0.0383,0.2058,4.26e-05,5.53_samples/s
1200,0,8.3511,8.3315,0.0353,0.1958,4.50e-05,5.49_samples/s
1250,0,8.6345,8.6153,0.0339,0.1927,4.68e-05,5.45_samples/s
1300,0,8.0969,8.0787,0.0315,0.1821,4.86e-05,5.42_samples/s
1350,0,7.9927,7.9753,0.0301,0.1739,5.04e-05,5.40_samples/s
1400,0,7.9244,7.9076,0.0280,0.1687,5.22e-05,5.38_samples/s
1450,0,7.8993,7.8830,0.0268,0.1626,5.40e-05,5.35_samples/s
1500,0,7.4090,7.3936,0.0251,0.1548,5.58e-05,5.33_samples/s
1550,0,7.4171,7.4020,0.0247,0.1507,5.76e-05,5.30_samples/s
1600,0,7.3621,7.3476,0.0223,0.1455,6.00e-05,5.29_samples/s
1650,0,7.4635,7.4493,0.0217,0.1421,6.18e-05,5.26_samples/s
1700,0,7.2801,7.2661,0.0213,0.1398,6.36e-05,5.25_samples/s
1750,0,7.2995,7.2846,0.0226,0.1492,6.54e-05,5.23_samples/s
1800,0,6.8356,6.8219,0.0200,0.1365,6.72e-05,5.23_samples/s
1850,0,6.8083,6.7946,0.0192,0.1368,6.90e-05,5.21_samples/s
1900,0,6.8566,6.8430,0.0189,0.1357,7.08e-05,5.20_samples/s
1950,0,6.7381,6.7246,0.0189,0.1348,7.26e-05,5.19_samples/s
2000,0,6.6873,6.6739,0.0204,0.1331,7.50e-05,5.18_samples/s
2050,0,6.7559,6.7427,0.0201,0.1320,7.68e-05,5.16_samples/s
2100,0,6.6545,6.6415,0.0209,0.1303,7.86e-05,5.13_samples/s
2150,0,6.6549,6.6420,0.0208,0.1295,8.04e-05,5.12_samples/s
2200,0,6.7679,6.7550,0.0211,0.1289,8.22e-05,5.12_samples/s
2250,0,6.6924,6.6796,0.0214,0.1278,8.40e-05,5.10_samples/s
2300,0,6.5183,6.5055,0.0216,0.1282,8.58e-05,5.11_samples/s
2350,0,6.5728,6.5602,0.0228,0.1260,8.76e-05,5.13_samples/s
2400,0,6.3667,6.3542,0.0236,0.1245,9.00e-05,5.16_samples/s
2450,0,6.4254,6.4130,0.0247,0.1245,9.18e-05,5.17_samples/s
2500,0,6.4339,6.4214,0.0246,0.1248,9.36e-05,5.19_samples/s
2550,0,6.4711,6.4587,0.0244,0.1239,9.54e-05,5.20_samples/s
2600,0,6.5067,6.4941,0.0239,0.1254,9.72e-05,5.21_samples/s
2650,0,6.3692,6.3568,0.0243,0.1231,9.90e-05,5.22_samples/s
2700,0,6.2395,6.2272,0.0245,0.1228,1.01e-04,5.22_samples/s
2750,0,6.3854,6.3732,0.0243,0.1219,1.03e-04,5.23_samples/s
2800,0,6.3048,6.2924,0.0239,0.1245,1.05e-04,5.24_samples/s
2850,0,6.0229,6.0110,0.0247,0.1200,1.07e-04,5.24_samples/s
2900,0,6.4902,6.4780,0.0251,0.1216,1.09e-04,5.25_samples/s
2950,0,6.2610,6.2490,0.0263,0.1197,1.10e-04,5.24_samples/s
3000,0,6.1265,6.1147,0.0277,0.1180,1.12e-04,5.22_samples/s
3050,0,6.3472,6.3355,0.0286,0.1171,1.14e-04,5.23_samples/s
3100,0,6.4102,6.3987,0.0287,0.1158,1.16e-04,5.22_samples/s
3150,0,6.3487,6.3372,0.0289,0.1154,1.18e-04,5.19_samples/s
3200,0,6.3857,6.3741,0.0288,0.1159,1.20e-04,5.20_samples/s
3250,0,6.3629,6.3510,0.0295,0.1193,1.22e-04,5.21_samples/s
3300,0,6.2949,6.2835,0.0301,0.1133,1.24e-04,5.21_samples/s
3350,0,6.1750,6.1638,0.0301,0.1122,1.25e-04,5.22_samples/s
3400,0,6.2000,6.1889,0.0301,0.1110,1.27e-04,5.22_samples/s
3450,0,6.2003,6.1893,0.0306,0.1097,1.29e-04,5.23_samples/s
3500,0,6.3343,6.3233,0.0316,0.1094,1.31e-04,5.23_samples/s
3550,0,6.1788,6.1675,0.0321,0.1138,1.33e-04,5.24_samples/s
3600,0,6.5052,6.4945,0.0338,0.1073,1.35e-04,5.24_samples/s
3650,0,6.6199,6.6093,0.0349,0.1061,1.37e-04,5.25_samples/s
3700,0,6.3794,6.3687,0.0353,0.1073,1.39e-04,5.25_samples/s
3750,0,6.3207,6.3099,0.0356,0.1080,1.40e-04,5.26_samples/s
3800,0,6.2590,6.2482,0.0361,0.1079,1.42e-04,5.26_samples/s
3850,0,6.2913,6.2806,0.0365,0.1065,1.44e-04,5.26_samples/s
3900,0,6.2717,6.2612,0.0361,0.1050,1.46e-04,5.27_samples/s
3950,0,6.1551,6.1445,0.0363,0.1059,1.48e-04,5.27_samples/s
4000,0,6.1796,6.1692,0.0376,0.1040,1.50e-04,5.27_samples/s
4050,0,6.4471,6.4367,0.0375,0.1043,1.52e-04,5.28_samples/s
4100,0,6.3530,6.3427,0.0377,0.1034,1.54e-04,5.28_samples/s
4150,0,6.2343,6.2239,0.0368,0.1041,1.55e-04,5.29_samples/s
4200,0,6.0857,6.0752,0.0365,0.1052,1.57e-04,5.29_samples/s
4250,0,6.3973,6.3865,0.0366,0.1077,1.59e-04,5.29_samples/s
4300,0,6.2664,6.2557,0.0370,0.1071,1.61e-04,5.29_samples/s
4350,0,6.0513,6.0413,0.0361,0.1002,1.63e-04,5.30_samples/s
4400,0,5.8308,5.8211,0.0352,0.0970,1.65e-04,5.30_samples/s
4450,0,6.3115,6.3017,0.0337,0.0982,1.67e-04,5.30_samples/s
4500,0,6.0554,6.0456,0.0327,0.0976,1.69e-04,5.30_samples/s
4550,0,6.0616,6.0513,0.0312,0.1031,1.70e-04,5.31_samples/s
4600,0,6.3333,6.3236,0.0312,0.0974,1.72e-04,5.31_samples/s
4650,0,6.2016,6.1915,0.0323,0.1011,1.74e-04,5.31_samples/s
4700,0,6.0187,6.0085,0.0347,0.1022,1.76e-04,5.32_samples/s
4750,0,6.0711,6.0603,0.0361,0.1079,1.78e-04,5.32_samples/s
