step,epoch,total_loss,ce_loss,phase_loss,mag_loss,lr,throughput
0,0,11.4672,11.4397,0.0499,0.2746,0.00e+00,0.00_samples/s
50,0,11.4671,11.4396,0.0490,0.2745,1.80e-06,4.47_samples/s
100,0,11.4915,11.4639,0.0509,0.2764,3.60e-06,5.27_samples/s
150,0,11.5898,11.5624,0.0488,0.2736,5.40e-06,5.58_samples/s
200,0,11.3697,11.3419,0.0532,0.2774,7.20e-06,5.71_samples/s
250,0,11.3476,11.3202,0.0497,0.2737,9.00e-06,5.77_samples/s
300,0,11.2017,11.1742,0.0503,0.2749,1.08e-05,5.80_samples/s
350,0,11.0580,11.0307,0.0488,0.2737,1.26e-05,5.82_samples/s
400,0,10.9252,10.8976,0.0523,0.2755,1.50e-05,5.83_samples/s
450,0,10.8257,10.7986,0.0512,0.2714,1.68e-05,5.84_samples/s
500,0,10.6099,10.5828,0.0521,0.2704,1.86e-05,5.84_samples/s
550,0,10.5829,10.5557,0.0531,0.2726,2.04e-05,5.85_samples/s
600,0,10.4251,10.3985,0.0517,0.2659,2.22e-05,5.86_samples/s
650,0,10.1895,10.1634,0.0520,0.2606,2.40e-05,5.86_samples/s
700,0,9.9696,9.9439,0.0513,0.2571,2.58e-05,5.87_samples/s
750,0,9.9092,9.8838,0.0530,0.2541,2.76e-05,5.85_samples/s
800,0,9.7590,9.7341,0.0555,0.2489,3.00e-05,5.62_samples/s
850,0,9.7594,9.7348,0.0519,0.2453,3.18e-05,5.13_samples/s
900,0,9.7403,9.7150,0.0557,0.2529,3.36e-05,5.21_samples/s
950,0,9.3293,9.3056,0.0552,0.2372,3.54e-05,5.27_samples/s
1000,0,9.3144,9.2916,0.0533,0.2284,3.72e-05,5.33_samples/s
1050,0,9.0478,9.0254,0.0546,0.2247,3.90e-05,5.38_samples/s
1100,0,9.0172,8.9954,0.0523,0.2176,4.08e-05,5.43_samples/s
1150,0,8.9823,8.9599,0.0522,0.2243,4.26e-05,5.48_samples/s
1200,0,8.6813,8.6603,0.0499,0.2096,4.50e-05,5.50_samples/s
1250,0,8.4589,8.4393,0.0453,0.1959,4.68e-05,5.52_samples/s
1300,0,8.2653,8.2460,0.0443,0.1928,4.86e-05,5.54_samples/s
1350,0,7.9306,7.9130,0.0408,0.1761,5.04e-05,5.55_samples/s
1400,0,7.8215,7.8048,0.0391,0.1675,5.22e-05,5.56_samples/s
1450,0,7.9402,7.9239,0.0376,0.1623,5.40e-05,5.57_samples/s
1500,0,7.5213,7.5057,0.0357,0.1557,5.58e-05,5.58_samples/s
1550,0,7.6317,7.6168,0.0341,0.1481,5.76e-05,5.59_samples/s
1600,0,7.4604,7.4460,0.0331,0.1440,6.00e-05,5.59_samples/s
1650,0,7.1016,7.0875,0.0323,0.1406,6.18e-05,5.59_samples/s
1700,0,7.1996,7.1859,0.0308,0.1370,6.36e-05,5.60_samples/s
1750,0,7.1539,7.1393,0.0327,0.1466,6.54e-05,5.60_samples/s
1800,0,6.9262,6.9130,0.0309,0.1316,6.72e-05,5.60_samples/s
1850,0,6.8962,6.8831,0.0301,0.1303,6.90e-05,5.60_samples/s
1900,0,6.8682,6.8553,0.0300,0.1291,7.08e-05,5.60_samples/s
1950,0,6.7535,6.7408,0.0305,0.1266,7.26e-05,5.60_samples/s
2000,0,6.5685,6.5559,0.0302,0.1259,7.50e-05,5.60_samples/s
2050,0,6.3324,6.3199,0.0302,0.1251,7.68e-05,5.60_samples/s
2100,0,6.4137,6.4014,0.0300,0.1232,7.86e-05,5.60_samples/s
2150,0,6.4890,6.4768,0.0303,0.1219,8.04e-05,5.60_samples/s
2200,0,6.4814,6.4693,0.0304,0.1206,8.22e-05,5.60_samples/s
2250,0,6.5084,6.4963,0.0301,0.1204,8.40e-05,5.60_samples/s
2300,0,6.6850,6.6730,0.0302,0.1194,8.58e-05,5.60_samples/s
2350,0,6.5437,6.5319,0.0306,0.1172,8.76e-05,5.60_samples/s
2400,0,6.2044,6.1929,0.0303,0.1148,9.00e-05,5.59_samples/s
2450,0,6.2188,6.2075,0.0301,0.1131,9.18e-05,5.59_samples/s
2500,0,6.6610,6.6496,0.0303,0.1142,9.36e-05,5.59_samples/s
2550,0,6.4856,6.4744,0.0310,0.1116,9.54e-05,5.59_samples/s
2600,0,6.4066,6.3956,0.0320,0.1096,9.72e-05,5.59_samples/s
2650,0,6.4279,6.4170,0.0325,0.1093,9.90e-05,5.59_samples/s
2700,0,6.4016,6.3907,0.0329,0.1090,1.01e-04,5.59_samples/s
2750,0,6.5600,6.5493,0.0330,0.1076,1.03e-04,5.59_samples/s
2800,0,6.2960,6.2853,0.0324,0.1072,1.05e-04,5.59_samples/s
2850,0,6.4029,6.3921,0.0321,0.1078,1.07e-04,5.59_samples/s
2900,0,6.1816,6.1709,0.0317,0.1072,1.09e-04,5.59_samples/s
2950,0,6.2077,6.1970,0.0320,0.1070,1.10e-04,5.58_samples/s
3000,0,6.5730,6.5619,0.0321,0.1116,1.12e-04,5.58_samples/s
3050,0,6.0945,6.0839,0.0319,0.1063,1.14e-04,5.57_samples/s
3100,0,6.3918,6.3812,0.0317,0.1059,1.16e-04,5.57_samples/s
3150,0,6.4040,6.3933,0.0321,0.1066,1.18e-04,5.57_samples/s
3200,0,6.2484,6.2377,0.0321,0.1070,1.20e-04,5.57_samples/s
3250,0,6.1355,6.1252,0.0320,0.1035,1.22e-04,5.57_samples/s
3300,0,6.1563,6.1461,0.0320,0.1025,1.24e-04,5.56_samples/s
3350,0,5.9469,5.9368,0.0324,0.1009,1.25e-04,5.56_samples/s
3400,0,6.3314,6.3212,0.0333,0.1015,1.27e-04,5.56_samples/s
3450,0,6.5838,6.5738,0.0339,0.0997,1.29e-04,5.56_samples/s
3500,0,6.2809,6.2710,0.0348,0.0997,1.31e-04,5.55_samples/s
3550,0,6.3899,6.3797,0.0351,0.1024,1.33e-04,5.55_samples/s
3600,0,6.3484,6.3384,0.0343,0.0995,1.35e-04,5.54_samples/s
3650,0,6.4965,6.4865,0.0332,0.0998,1.37e-04,5.54_samples/s
3700,0,5.9600,5.9501,0.0321,0.0991,1.39e-04,5.54_samples/s
3750,0,6.2629,6.2526,0.0316,0.1034,1.40e-04,5.54_samples/s
3800,0,6.3943,6.3845,0.0308,0.0983,1.42e-04,5.54_samples/s
3850,0,6.2551,6.2452,0.0308,0.0987,1.44e-04,5.53_samples/s
3900,0,6.1586,6.1487,0.0315,0.0995,1.46e-04,5.53_samples/s
3950,0,6.3858,6.3759,0.0317,0.0987,1.48e-04,5.53_samples/s
