step,epoch,total_loss,ce_loss,phase_loss,mag_loss,lr,throughput
0,0,3.3762,3.3558,0.0486,0.1550,0.00e+00,0.00_samples/s
50,0,3.2984,3.2799,0.0469,0.1382,1.80e-06,5.48_samples/s
100,0,3.5925,3.5718,0.0470,0.1602,3.60e-06,6.02_samples/s
150,0,3.6725,3.6521,0.0452,0.1587,5.40e-06,6.18_samples/s
200,0,3.3633,3.3418,0.0469,0.1679,7.20e-06,6.25_samples/s
250,0,3.5112,3.4900,0.0443,0.1679,9.00e-06,6.29_samples/s
300,0,3.5155,3.4963,0.0406,0.1512,1.08e-05,6.31_samples/s
350,0,3.5852,3.5641,0.0397,0.1712,1.26e-05,6.33_samples/s
400,0,3.4850,3.4638,0.0394,0.1721,1.50e-05,6.34_samples/s
450,0,3.5589,3.5349,0.0433,0.1962,1.68e-05,6.35_samples/s
500,0,3.4745,3.4533,0.0379,0.1741,1.86e-05,6.29_samples/s
550,0,3.5272,3.5069,0.0355,0.1668,2.04e-05,6.04_samples/s
600,0,3.4920,3.4705,0.0360,0.1790,2.22e-05,5.89_samples/s
650,0,3.0419,3.0257,0.0269,0.1347,2.40e-05,5.84_samples/s
700,0,3.4929,3.4769,0.0274,0.1327,2.58e-05,5.75_samples/s
750,0,3.3388,3.3169,0.0381,0.1805,2.76e-05,5.65_samples/s
800,0,3.2689,3.2404,0.0492,0.2362,3.00e-05,5.59_samples/s
850,0,3.3418,3.3267,0.0253,0.1265,3.18e-05,5.55_samples/s
900,0,3.2795,3.2620,0.0298,0.1458,3.36e-05,5.49_samples/s
950,0,3.2893,3.2725,0.0286,0.1392,3.54e-05,5.45_samples/s
1000,0,3.5518,3.5328,0.0334,0.1569,3.72e-05,5.42_samples/s
1050,0,3.1746,3.1580,0.0282,0.1385,3.90e-05,5.38_samples/s
1100,0,3.3659,3.3475,0.0315,0.1527,4.08e-05,5.33_samples/s
1150,0,3.4989,3.4825,0.0282,0.1363,4.26e-05,5.31_samples/s
1200,0,3.3170,3.2966,0.0335,0.1703,4.50e-05,5.27_samples/s
1250,0,3.5077,3.4902,0.0302,0.1456,4.68e-05,5.25_samples/s
1300,0,3.6091,3.5899,0.0321,0.1599,4.86e-05,5.24_samples/s
1350,0,3.1472,3.1310,0.0269,0.1350,5.04e-05,5.21_samples/s
1400,0,3.5375,3.5173,0.0338,0.1689,5.22e-05,5.17_samples/s
1450,0,3.9388,3.9217,0.0283,0.1429,5.40e-05,5.16_samples/s
1500,0,3.2859,3.2685,0.0298,0.1449,5.58e-05,5.14_samples/s
1550,0,3.0451,3.0288,0.0274,0.1358,5.76e-05,5.13_samples/s
1600,0,3.3945,3.3731,0.0366,0.1775,6.00e-05,5.10_samples/s
1650,0,3.6406,3.6262,0.0239,0.1210,6.18e-05,5.09_samples/s
1700,0,3.4194,3.3958,0.0392,0.1969,6.36e-05,5.07_samples/s
1750,0,3.1545,3.1401,0.0234,0.1212,6.54e-05,5.06_samples/s
1800,0,3.0592,3.0402,0.0311,0.1592,6.72e-05,5.04_samples/s
1850,0,3.4228,3.4027,0.0332,0.1680,6.90e-05,5.03_samples/s
1900,0,3.1964,3.1752,0.0364,0.1757,7.08e-05,5.03_samples/s
1950,0,3.2971,3.2760,0.0352,0.1761,7.26e-05,5.01_samples/s
2000,0,3.2270,3.2071,0.0334,0.1654,7.50e-05,5.01_samples/s
2050,0,2.9325,2.9180,0.0237,0.1216,7.68e-05,4.99_samples/s
2100,0,3.1831,3.1658,0.0282,0.1447,7.86e-05,4.97_samples/s
2150,0,3.1442,3.1309,0.0226,0.1105,8.04e-05,4.97_samples/s
2200,0,3.0436,3.0247,0.0303,0.1590,8.22e-05,4.95_samples/s
2250,0,3.2905,3.2752,0.0240,0.1287,8.40e-05,4.95_samples/s
2300,0,3.1756,3.1551,0.0332,0.1713,8.58e-05,4.94_samples/s
2350,0,3.3261,3.3091,0.0267,0.1432,8.76e-05,4.94_samples/s
2400,0,3.3525,3.3307,0.0360,0.1825,9.00e-05,4.92_samples/s
2450,0,3.0734,3.0538,0.0311,0.1655,9.18e-05,4.92_samples/s
2500,0,3.2168,3.2031,0.0218,0.1146,9.36e-05,4.91_samples/s
2550,0,3.2154,3.1984,0.0282,0.1417,9.54e-05,4.91_samples/s
2600,0,3.5222,3.5002,0.0346,0.1856,9.72e-05,4.90_samples/s
2650,0,3.1308,3.1138,0.0283,0.1416,9.90e-05,4.90_samples/s
2700,0,2.8287,2.8130,0.0253,0.1321,1.01e-04,4.89_samples/s
