step,epoch,total_loss,ce_loss,phase_loss,mag_loss,lr,throughput
0,0,11.3871,11.3483,0.0565,0.3871,0.00e+00,0.00_samples/s
50,0,11.5313,11.4928,0.0582,0.3849,1.80e-06,2.99_samples/s
100,0,11.4311,11.3926,0.0562,0.3849,3.60e-06,4.08_samples/s
150,0,11.4629,11.4243,0.0561,0.3861,5.40e-06,4.62_samples/s
200,0,11.4897,11.4510,0.0564,0.3872,7.20e-06,4.90_samples/s
250,0,11.4294,11.3909,0.0575,0.3849,9.00e-06,4.78_samples/s
300,0,11.4896,11.4510,0.0556,0.3864,1.08e-05,4.89_samples/s
350,0,11.4805,11.4419,0.0565,0.3860,1.26e-05,5.02_samples/s
400,0,11.4150,11.3763,0.0553,0.3868,1.50e-05,5.11_samples/s
450,0,11.2983,11.2597,0.0561,0.3862,1.68e-05,5.19_samples/s
500,0,11.4038,11.3650,0.0563,0.3878,1.86e-05,5.25_samples/s
550,0,11.3376,11.2990,0.0563,0.3869,2.04e-05,5.30_samples/s
600,0,11.3922,11.3536,0.0562,0.3862,2.22e-05,5.34_samples/s
650,0,11.4266,11.3879,0.0583,0.3869,2.40e-05,5.38_samples/s
700,0,11.3678,11.3291,0.0572,0.3864,2.58e-05,5.39_samples/s
750,0,11.3399,11.3012,0.0561,0.3873,2.76e-05,5.37_samples/s
800,0,11.4169,11.3783,0.0566,0.3858,3.00e-05,5.35_samples/s
850,0,11.3580,11.3194,0.0562,0.3855,3.18e-05,3.66_samples/s
900,0,11.2897,11.2511,0.0566,0.3856,3.36e-05,3.74_samples/s
950,0,11.2142,11.1756,0.0576,0.3861,3.54e-05,3.50_samples/s
1000,0,11.2757,11.2372,0.0575,0.3848,3.72e-05,3.58_samples/s
1050,0,11.2230,11.1846,0.0562,0.3837,3.90e-05,3.64_samples/s
1100,0,11.3804,11.3420,0.0559,0.3839,4.08e-05,3.70_samples/s
1150,0,11.3174,11.2789,0.0575,0.3845,4.26e-05,3.76_samples/s
1200,0,11.2801,11.2417,0.0574,0.3836,4.50e-05,3.82_samples/s
1250,0,11.1499,11.1116,0.0566,0.3832,4.68e-05,3.86_samples/s
1300,0,11.1811,11.1429,0.0569,0.3826,4.86e-05,3.90_samples/s
1350,0,11.1254,11.0873,0.0576,0.3810,5.04e-05,3.92_samples/s
1400,0,11.1243,11.0863,0.0570,0.3802,5.22e-05,3.94_samples/s
1450,0,11.0557,11.0176,0.0571,0.3807,5.40e-05,3.95_samples/s
1500,0,11.1736,11.1357,0.0553,0.3784,5.58e-05,3.97_samples/s
1550,0,10.9485,10.9108,0.0568,0.3770,5.76e-05,3.98_samples/s
